LOCNAME,GRADE,ANNUAL1,ANNUAL2,ANNUAL3,ANNUAL4,ANNUAL5,ANNUAL6,ANNUAL7,ANNUAL8,ANNUAL9,ANNUAL10
DAY,4,30556,31574,32592,33611,34629,35647,36665,37683,38701,39719
DAY,5,34187,35327,36466,37606,38746,39886,41026,42165,43305,44445
DAY,6,38107,39377,40646,41916,43186,44455,45725,46995,48264,49534
DAY,7,42347,43759,45170,46581,47993,49404,50816,52227,53638,55050
DAY,8,46898,48462,50025,51589,53153,54717,56281,57844,59408,60972
DAY,9,51800,53526,55253,56980,58707,60433,62160,63887,65614,67340
DAY,10,57044,58945,60847,62748,64650,66551,68453,70355,72256,74158
DAY,11,62672,64761,66850,68940,71029,73118,75208,77297,79386,81476
DAY,12,75118,77622,80126,82630,85134,87638,90142,92645,95149,97653
DAY,13,89324,92302,95279,98257,101234,104212,107190,110167,113145,116122
DAY,14,105555,109073,112592,116110,119629,123147,126666,130184,133703,137221
DAY,15,124161,128299,132438,136576,140715,144854,148992,153131,157269,161408
DCB,1,24086,24893,25694,26490,27292,27760,28551,29351,29382,30134
DCB,2,27081,27726,28623,29382,29715,30589,31464,32338,33213,34087
DCB,3,29548,30533,31518,32502,33487,34472,35457,36441,37426,38411
DCB,4,33172,34277,35382,36488,37593,38698,39803,40909,42014,43119
DCB,5,37113,38351,39588,40825,42063,43300,44537,45775,47012,48249
DCB,6,41369,42747,44126,45504,46882,48261,49639,51017,52396,53774
DCB,7,45972,47504,49036,50569,52101,53633,55165,56698,58230,59762
DCB,8,50912,52610,54308,56005,57703,59400,61098,62796,64493,66191
DCB,9,56233,58108,59983,61857,63732,65606,67481,69355,71230,73105
DCB,10,61926,63991,66055,68119,70184,72248,74312,76377,78441,80505
DCB,11,68036,70304,72573,74841,77109,79377,81645,83914,86182,88450
DCB,12,81548,84266,86984,89703,92421,95139,97858,100576,103294,106012
DCB,13,96970,100203,103435,106668,109900,113132,116365,119597,122830,126062
DCB,14,114590,118410,122230,126049,129869,133689,137508,141328,145148,148967
DCB,15,134789,139282,143774,148267,152760,157253,161746,164200,164200,164200
DEN,1,23570,24359,25143,25922,26706,27164,27938,28721,28751,29488
DEN,2,26501,27132,28009,28751,29078,29933,30789,31645,32500,33356
DEN,3,28915,29878,30842,31805,32769,33733,34696,35660,36623,37587
DEN,4,32460,33542,34623,35705,36787,37868,38950,40031,41113,42194
DEN,5,36317,37528,38739,39950,41160,42371,43582,44793,46004,47214
DEN,6,40482,41830,43179,44528,45877,47226,48574,49923,51272,52621
DEN,7,44986,46485,47985,49484,50983,52483,53982,55482,56981,58480
DEN,8,49820,51482,53143,54804,56465,58126,59788,61449,63110,64771
DEN,9,55027,56862,58696,60530,62365,64199,66034,67868,69702,71537
DEN,10,60598,62618,64638,66658,68679,70699,72719,74739,76759,78779
DEN,11,66577,68796,71016,73236,75455,77675,79894,82114,84333,86553
DEN,12,79799,82459,85119,87779,90439,93099,95759,98419,101079,103739
DEN,13,94890,98054,101217,104380,107543,110706,113869,117032,120195,123358
DEN,14,112133,115870,119608,123346,127084,130821,134559,138297,142035,145772
DEN,15,131898,136294,140691,145087,149484,153880,158277,162673,164200,164200
DET,1,23716,24510,25299,26083,26872,27333,28112,28900,28930,29671
DET,2,26665,27300,28183,28930,29258,30119,30980,31842,32703,33564
DET,3,29094,30064,31034,32003,32973,33942,34912,35882,36851,37821
DET,4,32662,33750,34839,35927,37015,38104,39192,40280,41368,42457
DET,5,36543,37761,38980,40198,41416,42635,43853,45071,46290,47508
DET,6,40733,42090,43448,44805,46162,47519,48876,50234,51591,52948
DET,7,45266,46774,48283,49792,51300,52809,54318,55826,57335,58844
DET,8,50130,51802,53473,55145,56816,58488,60159,61831,63502,65174
DET,9,55369,57215,59061,60907,62753,64598,66444,68290,70136,71981
DET,10,60975,63008,65040,67073,69105,71138,73171,75203,77236,79269
DET,11,66991,69224,71458,73691,75924,78158,80391,82624,84858,87091
DET,12,80295,82972,85648,88325,91001,93678,96354,99031,101707,104384
DET,13,95480,98663,101846,105029,108211,111394,114577,117760,120942,124125
DET,14,112830,116591,120352,124113,127874,131635,135396,139157,142918,146679
